,Time,Number_of_Casualties,Day_of_Week,Road_Type,Speed_limit,Light_Conditions,Weather_Conditions,Road_Surface_Conditions,Urban_or_Rural_Area,Did_Police_Officer_Attend_Scene_of_Accident,Junction_Detail,Number_of_Vehicles,Accident_Severity,Road_Surface_Condition
0,Mañana,1,Día laboral,Calzada,30.0,Diurna,"Bien, con vientos suaves",1,Urbano,Si,T,1,Leve,Seca
1,Mañana,1,Día laboral,Calzada,30.0,Diurna,"Bien, con vientos suaves",1,Urbano,Si,No_hay_cruce,1,Leve,Seca
2,Tarde,1,Fin de semana,Calzada,30.0,Diurna,"Bien, con vientos suaves",1,Urbano,Si,T,1,Leve,Seca
3,Tarde,2,Día laboral,Calzada,30.0,Diurna,"Bien, con vientos suaves",1,Urbano,Si,Encrucijada,1,Serio,Seca
4,Mañana,2,Día laboral,Calzada,30.0,Diurna,"Bien, con vientos suaves",1,Urbano,Si,Encrucijada,1,Leve,Seca
5,Tarde,2,Día laboral,Calzada,30.0,Diurna,"Bien, con vientos suaves",1,Urbano,Si,T,1,Leve,Seca
6,Tarde,1,Fin de semana,Calzada,30.0,Diurna,"Bien, con vientos suaves",1,Urbano,Si,No_hay_cruce,1,Serio,Seca
7,Tarde,1,Día laboral,Autovia,30.0,Oscuridad_Luces_Encendidas,"Bien, con vientos suaves",1,Urbano,Si,No_hay_cruce,1,Leve,Seca
8,Noche,1,Día laboral,Autovia,30.0,Oscuridad_Luces_Encendidas,"Bien, con vientos suaves",2,Urbano,Si,T,1,Leve,Húmeda
9,Tarde,1,Fin de semana,Autovia,30.0,Diurna,"Bien, con vientos suaves",1,Urbano,Si,Encrucijada,1,Leve,Seca
10,Tarde,1,Día laboral,Rotonda,30.0,Diurna,"Bien, con vientos suaves",1,Urbano,No,Rotonda,1,Leve,Seca
11,Mañana,1,Día laboral,Calzada,30.0,Diurna,"Bien, con vientos suaves",1,Urbano,No,Encrucijada,1,Serio,Seca
12,Mañana,1,Día laboral,Calzada,30.0,Diurna,"Bien, con vientos suaves",1,Urbano,No,T,1,Leve,Seca
13,Mañana,1,Día laboral,Calzada,30.0,Diurna,"Bien, con vientos suaves",1,Urbano,Si,T,1,Leve,Seca
14,Mañana,1,Día laboral,Calzada,30.0,Diurna,Desconocido,1,Urbano,Si,T,1,Leve,Seca
15,Noche,1,Día laboral,Calzada,30.0,Diurna,"Bien, con vientos suaves",1,Urbano,Si,T,1,Leve,Seca
16,Mañana,1,Día laboral,Calzada,30.0,Diurna,"Bien, con vientos suaves",1,Urbano,Si,Encrucijada,1,Leve,Seca
17,Mañana,1,Día laboral,Calzada,30.0,Diurna,"Bien, con vientos suaves",2,Urbano,Si,T,1,Leve,Húmeda
18,Noche,1,Día laboral,Calzada,30.0,Oscuridad_Luces_Encendidas,"Bien, con vientos suaves",1,Urbano,Si,No_hay_cruce,1,Leve,Seca
19,Noche,1,Día laboral,Calzada,30.0,Diurna,"Bien, con vientos suaves",1,Urbano,Si,T,1,Leve,Seca
20,Mañana,1,Día laboral,1SoloSentido,30.0,Diurna,"Bien, con vientos suaves",1,Urbano,Si,+4salidas,1,Leve,Seca
21,Mañana,1,Día laboral,Calzada,30.0,Diurna,"Bien, con vientos suaves",1,Urbano,No,No_hay_cruce,1,Leve,Seca
