,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Time_Madrugada,-100.0,208.0,430.99999999999994,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,105.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,269.0,-100.0,-100.0
Time_Mañana,-3.0,65.0,-100.0,13.0,-16.0,-42.0,19.0,134.0,-100.0,-100.0,8.0,-94.0,217.0,-100.0,-68.0,15.0,-100.0,-100.0,217.0,194.0
Time_Noche,-46.0,-22.0,259.0,-33.0,1.0,-48.0,-39.0,-6.0,-57.99999999999999,-20.0,-79.0,227.0,-100.0,261.0,-100.0,-33.0,-100.0,-55.00000000000001,-100.0,-100.0
Time_Tarde,34.0,-35.0,-100.0,12.0,12.0,65.0,12.0,-100.0,117.0,91.0,48.0,-81.0,-100.0,-100.0,121.0,11.0,146.0,113.99999999999999,-100.0,-82.0
Number_of_Casualties_1,9.0,4.0,2.0,9.0,-3.0,9.0,5.0,5.0,13.0,13.0,8.0,4.0,2.0,10.0,3.0,-100.0,7.000000000000001,3.0,13.0,6.0
Number_of_Casualties_2,-70.0,-30.0,-14.000000000000002,-71.0,23.0,-69.0,-35.0,-39.0,-100.0,-100.0,-64.0,-35.0,-16.0,-74.0,-24.0,778.0,-55.00000000000001,-27.0,-100.0,-45.0
Number_of_Casualties_3,283.0,-100.0,-100.0,218.00000000000003,246.0,-100.0,-100.0,-100.0,62.0,54.0,-100.0,190.0,-100.0,-100.0,314.0,-100.0,188.0,-100.0,-100.0,-100.0
Number_of_Casualties_4,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,1007.0,535.0,-100.0
Day_of_Week_Día laboral,-100.0,39.0,-4.0,-8.0,-100.0,10.0,4.0,39.0,14.000000000000002,2.0,22.0,-2.0,0.0,-1.0,-5.0,17.0,39.0,-6.0,6.0,-38.0
Day_of_Week_Fin de semana,259.0,-100.0,11.0,21.0,259.0,-26.0,-11.0,-100.0,-37.0,-6.0,-56.00000000000001,5.0,-1.0,4.0,14.000000000000002,-43.0,-100.0,16.0,-15.0,98.0
Road_Type_1SoloSentido,57.99999999999999,-20.0,-4.0,-90.0,9.0,-100.0,65.0,70.0,38.0,26.0,-100.0,-8.0,46.0,-69.0,-87.0,23.0,46.0,49.0,-5.0,-100.0
Road_Type_Autovia,-2.0,24.0,9.0,-67.0,-28.999999999999996,-85.0,-8.0,-8.0,8.0,-5.0,136.0,64.0,26.0,-15.0,-15.0,30.0,-12.0,-8.0,2.0,-34.0
Road_Type_Calzada,-12.0,-2.0,2.0,13.0,2.0,17.0,-7.000000000000001,-10.0,1.0,-3.0,-5.0,-2.0,-8.0,6.0,7.000000000000001,1.0,-8.0,-3.0,3.0,8.0
Road_Type_Circunvalacion,-100.0,-100.0,18.0,-100.0,54.0,-100.0,22.0,-100.0,114.99999999999999,242.0,-100.0,28.999999999999996,-100.0,48.0,-100.0,-14.000000000000002,156.0,-100.0,-28.999999999999996,-100.0
Road_Type_Desconocida,357.0,-35.0,-62.0,-46.0,-41.0,-67.0,149.0,263.0,-36.0,-48.0,-69.0,-67.0,-18.0,-25.0,18.0,-78.0,194.0,-21.0,-82.0,-27.0
Road_Type_Rotonda,-56.00000000000001,86.0,-8.0,-45.0,19.0,-83.0,-37.0,-26.0,-100.0,68.0,119.0,17.0,133.0,-4.0,-28.000000000000004,-44.0,-17.0,59.0,-9.0,30.0
Speed_limit_15.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,1456.0,-100.0,-100.0,-100.0,-100.0
Speed_limit_20.0,-24.0,55.00000000000001,2.0,-60.0,21.0,-100.0,51.0,59.0,5.0,11.0,-100.0,23.0,44.0,-42.0,-38.0,16.0,28.999999999999996,73.0,-37.0,-92.0
